,SMILES
114,[H]C(F)=C(Cl)C([H])([H])F
115,[H]C([H])(Cl)C([H])([H])C(Cl)(Cl)Cl
116,[H]C([H])([H])C(F)(F)C([H])([H])Cl
117,[H]C(F)=C(F)C(F)(F)F
118,FC(F)=C=C(F)F
119,[H]C([H])=C=C([H])F
120,[H]C(F)(Cl)C([H])(F)C([H])(F)Cl
121,FC(F)=C(F)F
122,[H]C([H])([H])C([H])(Cl)Cl
123,[H]C(F)=C(F)C(Cl)(Cl)Cl
124,[H]C([H])([H])C([H])([H])Cl
125,[H]C([H])(C(F)(F)Cl)C(F)(F)Cl
126,[H]C(F)(Cl)C(F)=C(F)F
127,[H]C(F)(F)C([H])([H])C([H])([H])Cl
128,[H]C([H])=C=C(Cl)Cl
129,[H]C(Cl)(Cl)Cl
130,[H]C(F)(Cl)C([H])([H])C([H])(Cl)Cl
131,[H]C([H])(F)C([H])(F)C([H])([H])F
132,[H]C#C[H]
133,[H]C(F)(Cl)Cl
134,[H]F
135,[H]C(F)(F)C(F)(Cl)C([H])(F)Cl
136,[H]C(F)(Cl)C([H])(F)Cl
137,[H]C(Cl)=C(F)C([H])([H])[H]
138,[H]C(F)(F)C(F)(Cl)C(F)(F)Cl
139,[H]C([H])=C([H])C([H])(Cl)Cl
140,[H]C([H])(F)C(Cl)(Cl)Cl
141,[H]C(F)(Cl)C(F)(F)C([H])(Cl)Cl
142,[H]C(F)=C=C(F)Cl
143,[H]C([H])=C=C(F)F
144,FC(F)=C(Cl)C(F)(F)F
145,[H]C([H])=C([H])C(Cl)(Cl)Cl
146,[H]C([H])([H])C(F)(Cl)C([H])(Cl)Cl
147,[H]C(F)(Cl)C(F)(F)Cl
148,[H]C(F)(F)C(Cl)(Cl)C([H])([H])Cl
149,FC(Cl)=C(Cl)C(F)(F)Cl
150,[H]C([H])(F)C([H])(F)C([H])([H])Cl
151,[H]C(F)(Cl)C(F)(F)C(F)(F)F
152,[H]C([H])([H])C(F)(Cl)C(F)(F)F
153,FC(Cl)=C(F)C(F)(F)F
154,[H]C(=C(Cl)Cl)C([H])(Cl)Cl
155,[H]C(F)(Cl)C([H])(Cl)C([H])(Cl)Cl
156,[H]C(F)(F)C([H])(F)C([H])(F)Cl
157,[H]C([H])([H])C(F)(Cl)C([H])([H])[H]
158,[H]C([H])([H])C([H])([H])C([H])(F)Cl
159,[H]C([H])(F)C(F)(Cl)C([H])([H])F
160,[H]C(Cl)=C(Cl)C([H])([H])Cl
161,[H]C(F)(F)C(Cl)(Cl)C([H])(F)F
162,[H]C([H])(F)C([H])(Cl)C(F)(F)Cl
163,[H]C([H])([H])C(F)(Cl)C([H])([H])Cl
164,[H]C(F)(C(F)(F)Cl)C(Cl)(Cl)Cl
165,[H]C([H])=C([H])C([H])(F)Cl
166,[H]C([H])=C(F)C(F)(F)F
167,[H]C(F)(F)C(F)(F)C(Cl)(Cl)Cl
168,[H]C([H])([H])C([H])(F)C([H])([H])F
169,[H]C(Cl)(Cl)C(F)(F)C(F)(F)Cl
170,FC(F)(Cl)C(Cl)(Cl)C(F)(F)Cl
171,[H]C([H])(F)C(F)(Cl)C(F)(F)Cl
172,[H]C([H])([H])C([H])(Cl)C([H])(Cl)Cl
173,[H]C([H])([H])C([H])([H])F
174,FC(F)(F)C(F)(F)C(F)(F)Cl
175,[H]C([H])(Cl)C(F)(Cl)C(F)(F)Cl
176,[H]C(=C(F)F)C([H])(F)Cl
177,[H]C(=C(F)F)C([H])(Cl)Cl
178,[H]C(=C(F)F)C([H])([H])F
179,[H]C(F)(Cl)C([H])(F)C(F)(F)Cl
180,[H]C([H])(F)F
181,[H]C([H])=C=C(F)Cl
182,[H]C(F)(C(F)(F)F)C(F)(F)Cl
183,[H]C(=C(Cl)Cl)C([H])(F)Cl
184,[H]C(Cl)(C(F)(F)F)C(F)(Cl)Cl
185,[H]C(Cl)(C(F)(F)F)C(F)(F)Cl
186,[H]C(F)=C([H])C(F)(F)F
187,[H]C([H])(Cl)C(F)(Cl)C([H])([H])Cl
188,FC(Cl)=C(F)C(F)(F)Cl
189,[H]C(Cl)=C=C(Cl)Cl
190,[H]C([H])([H])C([H])(F)C([H])([H])[H]
191,[H]C([H])([H])C([H])(Cl)C(F)(F)Cl
192,[H]C(F)(F)C([H])(F)C([H])(F)F
193,[H]C([H])([H])C([H])(Cl)C(F)(F)F
194,[H]C(=C(Cl)Cl)C([H])(F)F
195,[H]C(F)(Cl)C([H])([H])C([H])(F)Cl
196,FC(F)=C(F)C(Cl)(Cl)Cl
197,FC(F)(F)C(F)(F)C(F)(Cl)Cl
198,[H]C([H])([H])C(F)(F)C([H])(F)F
199,[H]C([H])(C(F)(F)Cl)C(Cl)(Cl)Cl
200,[H]C([H])(F)C(F)(F)C(F)(F)Cl
201,[H]C([H])=C(F)C(F)(Cl)Cl
202,[H]C([H])([H])C(F)(Cl)C(Cl)(Cl)Cl
203,FC(F)(F)C(Cl)(Cl)C(F)(F)F
204,[H]C(F)=C([H])C([H])([H])Cl
