,SMILES
501,[H]C([H])(F)C(F)(Cl)C(Cl)(Cl)Cl
502,[H]C(F)(F)C([H])([H])C(F)(Cl)Cl
503,[H]C([H])([H])C([H])(F)C(F)(F)Cl
504,[H]C(F)(Cl)C(Cl)(Cl)Cl
505,[H]C(F)=C([H])C([H])([H])[H]
506,[H]C([H])(F)C([H])([H])C([H])(F)Cl
507,[H]C([H])(F)C([H])(Cl)C([H])([H])Cl
508,[H]C(F)=C(F)Cl
509,FC(F)=C=C(F)Cl
510,FC(F)=C(F)Cl
511,[H]C([H])(F)C([H])([H])C(Cl)(Cl)Cl
512,[H]C(F)(Cl)C(Cl)(Cl)C(F)(F)Cl
513,[H]C([H])(F)C(Cl)=C(Cl)Cl
514,[H]C([H])(F)C(F)(Cl)C(F)(Cl)Cl
515,[H]C(=C(Cl)Cl)C([H])([H])F
516,[H]C(F)(F)C([H])(Cl)C([H])(F)F
517,[H]C([H])([H])C(Cl)(Cl)Cl
518,[H]C([H])=C(F)C([H])(F)F
519,[H]C([H])=C(F)C([H])(F)Cl
520,[H]C(F)(F)C(Cl)(Cl)C(F)(Cl)Cl
521,[H]C(Cl)(Cl)C(Cl)=C(F)F
522,[H]C([H])(F)C(F)(F)C(F)(Cl)Cl
523,[H]C(F)=C(F)C([H])([H])F
524,[H]C([H])(F)C(F)(F)Cl
525,[H]C(F)(F)C([H])([H])C(Cl)(Cl)Cl
526,[H]C([H])(F)C([H])([H])C([H])([H])F
527,[H]C([H])(F)C(F)=C(Cl)Cl
528,[H]C([H])([H])C(Cl)(Cl)C([H])(Cl)Cl
529,[H]C(F)(Cl)C(F)(F)C(Cl)(Cl)Cl
530,[H]C(Cl)=C([H])C([H])(F)Cl
531,[H]C([H])(Cl)C([H])(Cl)C(F)(Cl)Cl
532,FC(F)(Cl)C(F)(Cl)C(F)(Cl)Cl
533,[H]C([H])(F)C(Cl)(Cl)C([H])(F)Cl
534,[H]C(Cl)(C(F)(F)Cl)C(F)(Cl)Cl
535,[H]C([H])([H])C(F)(F)Cl
536,[H]C([H])([H])C([H])([H])C([H])(Cl)Cl
537,[H]C([H])([H])C(Cl)=C(F)Cl
538,[H]C(F)(F)C(Cl)=C(F)F
539,[H]C(F)(Cl)C(F)=C(F)Cl
540,FC(Cl)=C(F)C(Cl)(Cl)Cl
541,[H]C(=C(F)F)C(Cl)(Cl)Cl
542,[H]C([H])=C(Cl)C([H])([H])F
543,[H]C(Cl)(Cl)C(Cl)(Cl)C(F)(F)F
544,[H]C(F)=C(Cl)C([H])(Cl)Cl
545,[H]C([H])(F)C([H])(F)C([H])(F)Cl
546,[H]C([H])(F)Cl
547,[H]C([H])([H])C(Cl)(Cl)C([H])(F)Cl
548,[H]C([H])([H])C([H])(Cl)C([H])([H])[H]
549,FC(F)(F)C(F)(F)F
550,[H]C([H])(Cl)C(Cl)(Cl)C(F)(F)F
551,[H]C(F)(F)C([H])(F)C(F)(F)Cl
552,[H]C(Cl)(Cl)C(F)=C(F)F
553,[H]C([H])([H])C([H])([H])C(Cl)(Cl)Cl
554,[H]C([H])([H])C(F)(Cl)C(F)(Cl)Cl
555,[H]C(Cl)(Cl)C([H])([H])C(F)(F)F
556,[H]C(F)(C(F)(F)Cl)C(F)(Cl)Cl
557,[H]C(Cl)(Cl)C(F)(F)F
558,[H]C(F)(C(F)(F)Cl)C(F)(F)Cl
559,[H]C([H])(F)C(Cl)(Cl)C([H])(F)F
560,[H]C([H])(Cl)C([H])([H])C([H])(Cl)Cl
561,[H]C([H])(F)C(F)=C(F)Cl
562,[H]C(Cl)(Cl)C([H])(F)C(F)(F)Cl
563,[H]C([H])(Cl)C([H])([H])C(F)(F)Cl
564,FC(F)(Cl)C(F)(F)C(Cl)(Cl)Cl
565,[H]C([H])(F)C(F)(F)C(F)(F)F
566,[H]C([H])(Cl)C(F)=C(F)F
567,FC(F)(F)F
568,FC(=C(Cl)Cl)C(F)(Cl)Cl
569,[H]C([H])([H])C(F)(F)F
570,FC(F)(F)C(Cl)=C(Cl)Cl
571,FC(F)=C(Cl)C(Cl)(Cl)Cl
572,[H]C([H])(F)C(Cl)(Cl)C(F)(F)Cl
573,[H]C([H])(F)C([H])([H])C([H])([H])Cl
574,[H]C(F)(Cl)C(F)(F)C(F)(Cl)Cl
575,[H]C(=C(F)F)C([H])([H])Cl
576,[H]C(F)(Cl)C(F)(Cl)C(F)(F)Cl
577,[H]C([H])([H])C(F)(Cl)Cl
